"positionName","salary","jobType/0","jobType/1","jobType/2","company","location","rating","reviewsCount","url","companyInfo"
"Senior Data Analyst",,"Internship",,,"Moniepoint","Bengaluru, Karnataka","3.9","12","https://in.indeed.com/viewjob?jk=ea653114bab6f2eb",
"Technical Analyst",,"Full-time",,,"Johnson Controls","Pune, Maharashtra","3.6","8743","https://in.indeed.com/viewjob?jk=286a6bffb1357e60",
"Business Intelligence Senior Specialist",,,,,"NTT Ltd","Bengaluru, Karnataka","3.5","4924","https://in.indeed.com/viewjob?jk=ab984344f6492d8e",
"Data Analyst (f/m/d)",,"Permanent","Full-time",,"Siemens Healthineers","Bengaluru, Karnataka","3.8","524","https://in.indeed.com/viewjob?jk=60fd406747e48edf",
"Business Analyst I, EU INTech",,"Full-time",,,"ADCI HYD 13 SEZ","Hyderabad, Telangana","3.5","55623","https://in.indeed.com/viewjob?jk=4282815bc822f568",
"Data Analyst",,"Full-time",,,"Target","Bengaluru, Karnataka","3.5","81485","https://in.indeed.com/viewjob?jk=3420fc3bebf55f51",
"Data Analyst",,"Full-time",,,"WebMD","Navi Mumbai, Maharashtra","3.5","265","https://in.indeed.com/viewjob?jk=916f77d245e1b0e6",
"Data & Analytics Analyst","₹45,840 - ₹68,760 a year","Permanent","Full-time",,"National Westminster Bank PLC","Chennai, Tamil Nadu","3.7","1181","https://in.indeed.com/viewjob?jk=f8cb8ce12be58ff9",
"Business Systems Analyst",,"Full-time",,,"Trimble","Chennai, Tamil Nadu","3.7","352","https://in.indeed.com/viewjob?jk=2a09ee388bcce52f",
"Business Analyst","₹2,50,000 - ₹6,00,000 a year","Full-time",,,"Geany Softech Private Limited","Thane District, Maharashtra","0","0","https://in.indeed.com/viewjob?jk=05725fc2bb3596a4",
"Technical Business Analyst",,"Full-time",,,"Advantal Technologies","Gurugram, Haryana","0","0","https://in.indeed.com/viewjob?jk=1a0b25df09ceea4c",
"Business Intel Engineer I, IN FC Analytics",,"Full-time",,,"ASSPL - Karnataka","Bengaluru, Karnataka","3.5","55623","https://in.indeed.com/viewjob?jk=5e13ac5772444f34",
"Data Analyst Global Customer Ops",,,,,"PerkinElmer","Thane District, Maharashtra","3.6","482","https://in.indeed.com/viewjob?jk=7aa5aade28a96946",
"Data Analyst",,"Full-time",,,"Ubisoft","Pune, Maharashtra","3.7","443","https://in.indeed.com/viewjob?jk=93b33c3b29904fbe",
"Sr. MIS Executive","₹22,000 - ₹25,000 a month","Full-time",,,"Minu Fashions","Kolkata, West Bengal","0","0","https://in.indeed.com/viewjob?jk=bc3f4ee4c74fa221",
"MIS Executive","₹10,000 - ₹22,000 a month","Full-time",,,"Sanjeevani Agrofoods Pvt. Ltd.","Dehradun, Uttarakhand","0","0","https://in.indeed.com/viewjob?jk=7c156d9527d62393",
"Master Data Analyst (Retail/FMCG)","₹40,000 - ₹50,000 a month","Full-time",,,"Career Bloc","Mumbai, Maharashtra","0","0","https://in.indeed.com/viewjob?jk=d942a6ffb3ad120e",
"Data Analyst",,"Full-time",,,"Shalom World TV","India","0","0","https://in.indeed.com/viewjob?jk=8c152c89e94a8d55",
"Data Analyst",,"Full-time",,,"Endress+Hauser Liquid Analysis India","Maharashtra","0","0","https://in.indeed.com/viewjob?jk=98e46ab12dfd10bb",
"Data Research Analyst - Coimbatore only","₹2,00,000 - ₹2,50,000 a year","Full-time",,,"Tecstellar Solutions, LLP","Rs Puram, Coimbatore, Tamil Nadu","0","0","https://in.indeed.com/viewjob?jk=696cccd54f69a516",
"Lead Analyst - Quantitative & Risk Analytics 4C",,"Full-time",,,"Genpact India Pvt. Ltd.","Bengaluru, Karnataka","3.8","7883","https://in.indeed.com/viewjob?jk=f4293533bd841cb4",
"Data Analyst (D365 Transformation Program)",,,,,"BirlaSoft","Whitefield, Bengaluru, Karnataka","3.8","466","https://in.indeed.com/viewjob?jk=66133081e0ed26e6",
"MIS Executive","₹30,000 - ₹35,000 a month","Permanent","Full-time",,"Ozell Cooner Limited","Kirti Nagar, Delhi, Delhi","0","0","https://in.indeed.com/viewjob?jk=774ef8c7ece11be5",
"Data Research Analyst","₹2,00,000 - ₹3,00,000 a year","Permanent","Full-time",,"TECHTIC SOLUTION","Ahmedabad, Gujarat","0","0","https://in.indeed.com/viewjob?jk=4c5447bb61a77596",
"Analyst, Enterprise Metrics & Reporting",,,,,"Azurity Pharmaceuticals - India","Hyderabad, Telangana","0","0","https://in.indeed.com/viewjob?jk=84ee8d39980b7c8a",
"Business Analyst","₹20,000 - ₹40,000 a month","Full-time",,,"Technocrats Horizons Compusoft Pvt. Ltd.","Ludhiana, Punjab","0","0","https://in.indeed.com/viewjob?jk=3180044682349296",
"Data Quality / Metadata & Data Lineage Analyst",,"Full-time",,,"Citi","Bengaluru, Karnataka","3.9","20497","https://in.indeed.com/viewjob?jk=fb4358e6ffb1d6f2",
"Data Science Lead Analyst - HIH - Evernorth",,"Full-time",,,"The Cigna Group","Andhra Pradesh","3.6","5337","https://in.indeed.com/viewjob?jk=3b82356a5a823627",
