id,country,job_role,ai_specialization,experience_level,experience_years,salary_usd,bonus_usd,education_required,industry,company_size,interview_rounds,year,work_mode,weekly_hours,company_rating,job_openings,hiring_difficulty_score,layoff_risk,ai_adoption_score,company_funding_billion,economic_index,ai_maturity_years,offer_acceptance_rate,tax_rate_percent,vacation_days,skill_demand_score,automation_risk,job_security_score,career_growth_score,work_life_balance_score,promotion_speed,salary_percentile,cost_of_living_index,employee_satisfaction
7,Japan,Data Analyst,LLM,Senior,9,71014,11956,PhD,Tech,Small,5,2020,Hybrid,36.6,4.37,17,61.20824203080511,0.042,78,3.41,65.23,4,80.29,31.0,16,73,92,93,42,96,67,41,1.57,80
15,Japan,Data Analyst,Forecasting,Senior,7,64231,3378,Bootcamp,Telecom,Medium,5,2020,Remote,47.7,4.74,24,89.80376732973986,0.11,72,8.98,94.79,6,62.83,14.1,17,9,44,89,73,68,31,3,0.7,74
16,Brazil,Data Analyst,LLM,Mid,3,28000,4342,Master,Tech,Startup,2,2024,Remote,42.5,4.4,7,82.98860817945884,0.237,89,2.62,89.38,8,94.62,24.4,12,66,31,73,61,62,57,36,1.24,64
33,USA,Data Analyst,Computer Vision,Lead,12,110907,19235,PhD,Gaming,Medium,4,2026,Onsite,37.3,3.29,19,44.152339504504326,0.046,59,0.92,63.44,11,87.11,12.1,22,87,69,82,35,94,50,43,1.17,84
36,Japan,Data Analyst,Analytics,Senior,7,68211,3704,Bootcamp,Telecom,Startup,4,2025,Onsite,40.2,4.53,17,55.53970542148884,0.104,61,2.35,66.85,4,81.72,18.1,19,65,40,72,46,73,40,86,1.09,68
40,USA,Data Analyst,Forecasting,Lead,17,162252,14041,Diploma,Education,Startup,7,2025,Onsite,42.4,3.21,38,53.2709218049563,0.051,73,7.37,50.67,6,67.58,36.2,22,64,52,86,62,67,85,32,2.42,83
45,USA,Data Analyst,LLM,Lead,15,164419,13081,Bootcamp,Telecom,Enterprise,5,2020,Hybrid,51.5,3.27,11,63.48548001495527,0.151,64,2.29,91.87,3,56.42,21.9,21,39,97,72,54,65,63,50,2.36,81
46,Australia,Data Analyst,Generative AI,Lead,14,93009,11108,Diploma,Retail,Medium,2,2021,Hybrid,37.5,4.07,17,87.30204154332017,0.011,61,2.25,92.55,8,84.36,27.6,22,93,22,90,43,82,49,60,2.24,80
60,France,Data Analyst,LLM,Senior,8,82818,9430,Bootcamp,Healthcare,Medium,3,2025,Hybrid,47.6,4.19,7,74.96668364001263,0.098,85,5.44,70.49,3,70.19,37.9,11,71,38,88,54,57,33,90,1.54,64
63,Australia,Data Analyst,MLOps,Lead,18,150191,22870,Bootcamp,Consulting,Large,5,2023,Hybrid,47.6,3.44,18,42.3641496194784,0.106,72,4.02,68.32,12,61.12,19.1,29,8,79,77,51,61,33,95,2.24,73
64,Canada,Data Analyst,NLP,Mid,2,50271,3331,Master,Automotive,Startup,3,2026,Onsite,40.4,4.44,16,72.34982410230838,0.194,72,3.84,59.57,4,80.81,29.9,15,1,53,66,70,85,29,58,1.3,74
66,UAE,Data Analyst,Reinforcement Learning,Lead,19,107973,13157,Master,Finance,Enterprise,4,2020,Remote,48.8,3.34,11,69.2076810133828,0.0,65,1.06,96.53,4,77.15,21.2,11,22,40,85,43,74,57,77,1.29,75
